trial_id,density,column,start_x_frac,goal_x_frac,seed,start_x,start_y,goal_x,goal_y,aorrt_reached,K_edges,control_cost_aorrt,control_cost_scp,control_cost_pct_decrease,risk_cost_aorrt,risk_cost_scp,risk_cost_pct_decrease,log_survive_aorrt,log_survive_scp,log_survive_delta,scp_converged,scp_iters,scp_n_solves,scp_stop_reason,plan_time_s,scp_time_s,total_time_s
8_L_299673,8,L,0.15,0.85,299673,0.9,0.78,5.1,5.22,True,106,49.882485,38.336542,-23.146,49.761615,22.817185,-54.147,-53.9047,-14.5784,39.3262,False,30,39,max_iters,11.1685,45.0455,56.9164
8_L_926314,8,L,0.15,0.85,926314,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,11.6966,,11.8825
8_L_381668,8,L,0.15,0.85,381668,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,9.7246,,9.9145
8_L_37366,8,L,0.15,0.85,37366,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,9.6771,,9.8747
8_L_261966,8,L,0.15,0.85,261966,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,10.8136,,11.0198
8_L_800712,8,L,0.15,0.85,800712,0.9,0.78,5.1,5.22,True,117,14.822916,17.777724,19.934,49.730484,37.489745,-24.614,-54.7211,-35.731,18.9902,False,30,40,max_iters,12.5146,45.4428,58.6716
8_L_358831,8,L,0.15,0.85,358831,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,10.385,,10.5876
8_L_487244,8,L,0.15,0.85,487244,0.9,0.78,5.1,5.22,True,56,29.465337,28.294233,-3.975,29.164495,23.027705,-21.042,-38.0797,-22.8522,15.2275,False,18,30,trust_floor_rho,11.955,18.5282,31.0297
8_L_813857,8,L,0.15,0.85,813857,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,9.7141,,9.912
8_L_137845,8,L,0.15,0.85,137845,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,10.2872,,10.4762
8_L_758723,8,L,0.15,0.85,758723,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,11.0047,,11.1965
8_L_967016,8,L,0.15,0.85,967016,0.9,0.78,5.1,5.22,True,52,22.478086,20.228064,-10.01,22.599176,21.649353,-4.203,-25.4479,-22.9851,2.4628,False,30,41,max_iters,11.6394,23.0473,35.1826
8_L_453353,8,L,0.15,0.85,453353,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,10.1787,,10.3757
8_L_59345,8,L,0.15,0.85,59345,0.9,0.78,5.1,5.22,True,234,54.239014,37.145866,-31.514,106.946234,49.461524,-53.751,-113.1931,-33.4296,79.7635,False,30,39,max_iters,12.5836,102.1794,115.9767
8_L_601514,8,L,0.15,0.85,601514,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,11.4656,,11.6531
8_L_866935,8,L,0.15,0.85,866935,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,10.8376,,11.0238
8_L_98489,8,L,0.15,0.85,98489,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,10.7633,,10.9532
8_L_281239,8,L,0.15,0.85,281239,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,10.5498,,10.7374
8_L_155272,8,L,0.15,0.85,155272,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,11.3243,,11.5178
8_L_281962,8,L,0.15,0.85,281962,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,10.3647,,10.5554
8_L_371867,8,L,0.15,0.85,371867,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,10.4394,,10.6265
8_L_494148,8,L,0.15,0.85,494148,0.9,0.78,5.1,5.22,False,,,,,,,,,,,,,,,10.691,,10.8766
8_C_299673,8,C,0.5,0.5,299673,3.0,0.78,3.0,5.22,True,60,11.177029,15.323131,37.095,26.655161,15.686048,-41.152,-29.8078,-12.3277,17.48,False,30,40,max_iters,12.1012,26.1336,38.7141
8_C_926314,8,C,0.5,0.5,926314,3.0,0.78,3.0,5.22,True,70,30.267283,30.59249,1.074,29.17104,21.609142,-25.923,-31.4749,-18.1695,13.3055,False,30,40,max_iters,11.6136,30.1206,42.296
8_C_381668,8,C,0.5,0.5,381668,3.0,0.78,3.0,5.22,True,94,12.688741,12.65078,-0.299,51.969006,47.571702,-8.461,-59.5499,-51.8298,7.72,False,19,32,trust_floor_rho,11.3782,32.1486,44.2485
8_C_37366,8,C,0.5,0.5,37366,3.0,0.78,3.0,5.22,True,68,10.644629,9.556496,-10.222,27.199822,22.657683,-16.699,-25.8576,-19.5364,6.3212,False,30,42,max_iters,11.0968,30.784,42.4849
8_C_261966,8,C,0.5,0.5,261966,3.0,0.78,3.0,5.22,True,77,14.181995,14.738024,3.921,54.99238,39.91963,-27.409,-90.6251,-45.785,44.8401,False,30,39,max_iters,10.803,32.5372,43.9274
8_C_800712,8,C,0.5,0.5,800712,3.0,0.78,3.0,5.22,True,64,15.67876,15.632783,-0.293,33.649491,26.709331,-20.625,-39.6157,-27.0344,12.5812,False,23,35,trust_floor_rho,10.9666,24.3806,35.8895
